Artist,Spotify Name,Genres,Popularity,Similarity
Manhattan Transfer,The Manhattan Transfer,['a cappella' 'adult standards' 'lounge' 'vocal jazz'],48.0,90
Chet Atkins And Doc Watson,Doc Watson,"['appalachian folk' 'bluegrass' 'country rock' 'folk' 'new americana'
 'old-time' 'progressive bluegrass' 'traditional folk']",53.0,56
Pelt,Pentatonix,['a cappella'],69.0,43
Mark Stewart & The Mafia,Mark Stewart,['bristol indie' 'experimental dub'],20.0,67
Lazy Cowgirls,The Lazy Cowgirls,"[""punk 'n' roll""]",10.0,87
Amon Düül,Amon Düül II,"['art rock' 'experimental' 'experimental rock' 'krautrock'
 'progressive rock' 'psychedelic rock' 'space rock' 'symphonic rock']",33.0,86
Mush,Mushroomhead,"['alternative metal' 'cleveland metal' 'groove metal' 'industrial metal'
 'industrial rock' 'nu metal' 'rap metal' 'rap rock']",54.0,50
8 Ball & MJG,8Ball,"['crunk' 'dirty south rap' 'gangster rap' 'memphis hip hop'
 'southern hip hop' 'trap']",48.0,59
Sphere,Spheres,['background music'],48.0,92
Current 93 & Antony,Current 93,['british industrial' 'experimental' 'industrial' 'neofolk'],35.0,69
Honeydogs,The Honeydogs,['minneapolis indie'],12.0,82
Michelle Shocked,Michelle Simonal,['coverchill' 'jazz cover'],58.0,69
Leos Janacek,Leoš Janáček,['czech classical' 'early modern classical' 'post-romantic era'],45.0,75
John Carpenter_ Alan Howarth,John Carpenter,['horror synth' 'soundtrack'],52.0,67
J'ai toujours rêvé d'être un gangster,Bizzy,,49.0,5
Ligeti Project,György Ligeti,"['avant-garde' 'classical' 'compositional ambient'
 'contemporary classical' 'hungarian contemporary classical' 'laboratorio']",40.0,44
Bilal Bashir And Divine Styler,Divine Styler,['afrofuturism'],31.0,60
Frankie Trumbauer & His Orchestra; featuirng Bix Beiderbecke and Eddie Lang,Frankie Trumbauer And His Orchestra,"[""man's orchestra""]",15.0,58
UK Subs,U.K. Subs,['oi' 'pub rock' 'punk' 'uk82'],37.0,88
David Liebman,,,,0
Andrew Jackson Jihad,,,,0
Skip Spence,,,,0
Jim Hall / Ron Carter,Jim Hall,['contemporary post-bop' 'cool jazz' 'jazz' 'jazz fusion' 'jazz guitar'],51.0,55
Bonnie Raitt With Jackson Browne,Bonnie Raitt,"['classic rock' 'country rock' 'electric blues' 'folk' 'folk rock'
 'lilith' 'mellow gold' 'roots rock' 'singer-songwriter']",63.0,55
Art Lande_ Jan Garbarek,Jan Garbarek,"['classical saxophone' 'contemporary jazz' 'ecm-style jazz' 'jazz fusion'
 'jazz saxophone' 'norwegian jazz']",49.0,69
EVN,EVNTYD,,39.0,67
N Sync,*NSYNC,['boy band' 'dance pop'],69.0,83
Joan Jett and the Blackhearts,Joan Jett & the Blackhearts,['glam punk' 'rock'],67.0,93
Portrait,Portraits Of Tracy,,39.0,62
Mike Rep & the Quotas,Mike Reno,,40.0,53
Shooter,ShooterGang Kony,['cali rap' 'detroit trap' 'viral rap'],59.0,61
Jane Birkin - Paolo Conte,Jane Birkin,['chanson'],50.0,61
Lemar Obika,Korra Obidi,,31.0,45
Eric Clapton / B.B. King,Eric Clapton,['blues rock' 'classic rock' 'electric blues' 'rock'],74.0,67
Girls,Girls' Generation,['k-pop' 'k-pop girl group'],68.0,45
Reuben,Reuben Morgan,,58.0,63
Aicha Kone,Aïcha Koné,['guinean pop' 'mande pop' 'musique mandingue'],21.0,80
Jerryl,Jerry Lee Lewis,['piano rock' 'rock-and-roll' 'rockabilly'],61.0,57
Missy Elliott / Redman,Missy Elliott,"['dance pop' 'hip hop' 'hip pop' 'pop rap' 'r&b' 'rap'
 'urban contemporary' 'virginia hip hop']",74.0,74
Benny Cassette,Benn Good,['la pop'],7.0,43
Satchel,Satchell,,34.0,93
Stephen Kellogg & The Sixers,Stephen Kellogg,['acoustic pop'],25.0,70
Steve Coleman & Five Elements,Steve Coleman,['jazz saxophone'],15.0,62
Soggy,The Soggy Bottom Boys,['outlaw country'],50.0,38
The Pharao's,Nef The Pharaoh,['cali rap' 'hyphy' 'west coast trap'],49.0,74
Wynonna Judd,Wynonna,['country' 'country dawn' 'country rock'],51.0,74
Martha & The Vandellas,,,,0
Jaden Smith,,,,0
Ekoostik Hookah,,,,0
Scritti Politti,,,,0
Pete Mccann,,,,0
Paul Gonsalves,,,,0
Leon Redbone,,,,0
Gossip,,,,0
Ill Niño,,,,0
Three 6 Mafia Three 6 Mafia feat. Frayser Boy,,,,0
Green Apple Quick Step,,,,0
Big Daddy Kane,,,,0
The Mission,,,,0
John Zorn & Fred Frith,,,,0
Soul Seekers featuring Harvey Watkins_ Jr.,,,,0
Craft,,,,0
Freddie Keppard,,,,0
Justice,,,,0
Bob Scobey,,,,0
The Dirty Projectors,,,,0
Supremes,,,,0
The Nomads,,,,0
PJ Harvey,,,,0
The Soup Dragons,,,,0
Debbie Davies,,,,0
Dolly Parton and Vince Gill,,,,0
Barry Adamson,,,,0
Upsilon Acrux,,,,0
Benjamin Zephaniah/Eliza Carthy/Trans-Global Underground/Simon Emmerson,,,,0
Rubén Blades,,,,0
Busy Bee,,,,0
Krush,,,,0
Emmylou Harris / Mark Knopfler,Emmylou Harris,"['country rock' 'folk' 'folk rock' 'lilith' 'melancholia' 'mellow gold'
 'roots rock' 'singer-songwriter']",63.0,64
James & Bobby Purify,James Arthur,['pop' 'talent show' 'uk pop'],83.0,50
Lynyrd Skynyrd Tribute,Lynyrd Skynyrd,,23.0,78
Josephine Baker,Joséphine Baker,['cabaret' 'harlem renaissance'],42.0,93
Sonora Dinamita,La Sonora Dinamita,['cumbia' 'ranchera' 'salsa colombiana' 'tropical'],67.0,91
PFR,Paramore,['candy pop' 'pixie' 'pop emo' 'pop punk'],83.0,36
Ex-Models,Ex Models,['noise punk' 'noise rock' 'sasscore'],12.0,89
Finley,Finley Rhone,['background piano'],44.0,67
moe.,Moenetty,,59.0,50
All Natural Lemon And Lime Flavors,All Natural Lemon & Lime Flavors,['dream pop' 'indie shoegaze' 'nu gaze' 'shoegaze'],26.0,94
Lightnin,"Lightning, Thunder and Rain Storm",['environmental' 'sleep'],47.0,39
Betty Boo,Betty Booom,['electro swing'],42.0,90
NG La Banda,NG La Banda de Uruguay,['cumbia uruguaya'],27.0,67
GEORGE CLINTON & THE P-FUNK ALLSTARS,George Clinton,['funk' 'p funk' 'soul'],58.0,56
Füxa,Fugazi,"['alternative rock' 'dc hardcore' 'indie rock' 'noise rock'
 'post-hardcore' 'post-punk' 'punk' 'rock']",59.0,40
Mojo Nixon & The Toad Liquors,Mojo Nixon,['cowpunk' 'psychobilly'],33.0,51
Lennon,Lennon Stella,['alt z' 'canadian pop' 'electropop' 'pop' 'post-teen pop'],68.0,63
Alan Jackson duet with George Strait,George Strait,['contemporary country' 'country' 'country road' 'country rock'],75.0,53
Danger Mouse & Jemini,Danger Mouse,['alternative hip hop' 'hip hop' 'mashup'],62.0,73
Mitch Ryder,Mitch Ryder and The Detroit Wheels,['detroit rock'],31.0,49
Cat Power and Dirty Delta Blues,Cat Power,"['anti-folk' 'art pop' 'dream pop' 'indie pop' 'melancholia'
 'singer-songwriter' 'slowcore']",59.0,45
Bill Justis & His Orchestra,Bill Justis,['rock-and-roll'],43.0,58
Bile,,,,0
Madhouse,,,,0
Kay Thompson,,,,0
The Derailers,,,,0
Faron Young,,,,0
The Skyliners,,,,0
Jerry Gonzalez,,,,0
Wilson Phillips,,,,0
Jimmy Rodgers,,,,0
Joy O,,,,0
Deutsch Amerikanische Freundschaft,,,,0
Gary Wilson,,,,0
Mink Lungs,,,,0
Chris Knight,,,,0
Common,,,,0
Stereolab,,,,0
She Is We,,,,0
North Mississippi Allstars,,,,0
Jimmy Blanton,,,,0
Clipse,,,,0
The Flesh,,,,0
Petra Haden,,,,0
Cardinal,,,,0
I'm from Barcelona,,,,0
Clientel,,,,0
Ewa Firsowicz,Ella Fitzgerald,['adult standards' 'jazz blues' 'swing' 'vocal jazz'],70.0,43
João Bosco,João Bosco & Vinicius,['arrocha' 'sertanejo' 'sertanejo pop' 'sertanejo universitario'],64.0,65
Scarlatti,Domenico Scarlatti,['baroque' 'classical' 'early music' 'italian baroque'],53.0,67
Graham Bond,The Graham Bond Organisation,['british blues' 'british invasion' 'freakbeat'],28.0,56
Blanks77,Blanks 77,['new jersey punk' 'oi' 'street punk'],16.0,94
Tommy Steele & The Steelmen,Tommy Steele,['merseybeat' 'rock-and-roll' 'vintage broadway'],31.0,62
Michael J.,Michael Jackson,['pop' 'r&b' 'soul'],85.0,72
