,Spotify Name,searched_artist_name
257,Super Birthday,Super Birthday
258,Diane Hubka,Diane Hubka
259,O.A.R.,O.A.R.
260,Kid606,Kid606
261,Amy Rigby,Amy Rigby
262,The Lambrettas,The Lambrettas
263,"Sam ""The Man"" Taylor","Sam ""The Man"" Taylor"
264,Sam Reider,Sam Reider
265,Pato Banton,Pato Banton
266,The Iveys,The Iveys
267,Ashley Cleveland,Ashley Cleveland
268,The Del Fuegos,The Del Fuegos
269,Sleepy John Estes,Sleepy John Estes
270,Mudhoney,Mudhoney
271,Madness,Madness
272,Ike Quebec,Ike Quebec
273,Modern English,Modern English
274,Lou Christie,Lou Christie
275,Larry Goldings,Larry Goldings
276,Sunny Day Real Estate,Sunny Day Real Estate
277,Weezer,Weezer
278,Christine Lavin,Christine Lavin
279,Spineshank,Spineshank
280,Mica Paris,Mica Paris
281,Harvey Milk,Harvey Milk
282,Call And Response,Call And Response
283,Eubie Blake,Eubie Blake
284,Phil Upchurch,Phil Upchurch
285,Mark Lanegan,Mark Lanegan
286,Dirty Ghosts,Dirty Ghosts
287,Johnny Maestro,Johnny Maestro
288,Icecream Hands,Icecream Hands
289,Holly Macve,Holly Macve
290,Cake Like,Cake Like
291,Nana Mouskouri,Nana Mouskouri
292,Manowar,Manowar
293,Charles Brackeen,Charles Brackeen
294,Lord Kitchener,Lord Kitchener
295,LA Priest,LA Priest
296,Serge Gainsbourg,Serge Gainsbourg
297,Nickelback,Nickelback
298,Poster Children,Poster Children
299,Jules And The Polar Bears,Jules And The Polar Bears
300,Shirley Ellis,Shirley Ellis
301,Dick Wellstood,Dick Wellstood
302,Steve Wynn & The Miracle 3,Steve Wynn
303,Grape Soda,Grape Soda
304,Buddy Knox,Buddy Knox
305,The For Carnation,The For Carnation
306,Pauline Oliveros,Pauline Oliveros
307,Mia Doi Todd,Mia Doi Todd
308,John Moore,John Moore
309,Trey Anastasio,Trey Anastasio
310,Blaqk Audio,Blaqk Audio
311,IAMX,IAMX
312,Chuck Berry,Chuck Berry
313,Boyracer,Boyracer
314,The Buck Pets,The Buck Pets
315,Lorene Drive,Lorene Drive
316,New York Art Quartet,New York Art Quartet
317,Eddie Holland,Eddie Holland
318,Alastair Galbraith,Alastair Galbraith
319,Earl Bostic,Earl Bostic
320,The Knack,The Knack
321,Clutch,Clutch
322,Will Downing,Will Downing
323,Jack's Mannequin,Jack's Mannequin
324,Joseph Angel,Joseph Angel
325,fun.,fun.
326,Buck Owens,Buck Owens
327,Marshall Crenshaw,Marshall Crenshaw
328,Bettie Serveert,Bettie Serveert
329,ZZ Top,ZZ Top
330,The Soviettes,The Soviettes
331,Boston Bun,Boston Bun
332,Micah P. Hinson,Micah P. Hinson
333,Billy Talent,Billy Talent
334,Lester Bowie,Lester Bowie
335,Enrico Rava,Enrico Rava
336,Rival Consoles,Rival Consoles
337,The Fire Theft,The Fire Theft
338,Elton Britt,Elton Britt
339,Donavon Frankenreiter,Donavon Frankenreiter
340,Lafayette Gilchrist,Lafayette Gilchrist
341,Johnny Gill,Johnny Gill
342,The Rentals,The Rentals
343,Wild Bill Moore,Wild Bill Moore
344,Bachman-Turner Overdrive,Bachman-Turner Overdrive
345,World's End Press,World's End Press
